hash,semester,instructors,is_author,author,date,title,comment_content,comment_teaching,comment_grading,comment_workload,rating_content,rating_teaching,rating_grading,rating_workload,has_midterm,has_final,has_quiz,has_assignment,has_essay,has_project,has_attendance,has_reading,has_presentation,upvote_count,vote_count,voted,is_upvote,comment_count,attachments
Gcmvnm7LCLp4R3654qDqpo8T1zLfWDRb,2024-25 Fall,"[{'id': 909, 'name': 'SONG, Yangqiu', 'rating': 0}]",False,Anacreon,"Sep 26, 2025",A+ and BEING STABBED IN THE BACK,"Standard Data Mining course content.<br /><br />Introductions<br />Classification<br />Linear Classifiers<br />CNN &amp; RNN<br />Sentiment Analysis<br />Word Embeddings<br />Network Representation Learning<br />Recommendation Systems<br /><br />Calculation in the exam is crucial, so becoming familiar with your calculator will be useful in this course. If you unfortunately make a mistake and the result is used in later parts, your final grade may drop by an entire letter.","Standard teaching style at UST. I attended about half of the lectures, and I found that self-studying the slides along with practicing past papers was quite useful for me. Nevertheless, attending the lectures can give you more than what is included in the slides.","grading: I got an A+ in this course.<br /><br />But it turns out to be a very unsatisfactory performance to Professor Song. **BE CAUTIOUS ABOUT USING HIS RECOMMENDATION LETTER.**<br /><br />He agreed to write for all the schools I selected, and at that time everything seemed perfect. I trusted him with my applications, including the schools I dreamed of the most and almost all my safety schools, all with his letter. As a course recommendation, it was naturally expected not to be too strong, but it would never have been a bad one. It should be safe using his letter, I thought. I was very wrong.<br /><br />And I was rejected, one after another, even by the safety choices I thought would never turn me away. In the end I was rejected by almost all of the universities that received his letter. I did something like an ablation study with my applications when I used the letters. The ones with Professor Song’s letter turned out **MUCH** poorer than the others, **FAR WORSE** than anything I submitted with letters from other professors. What was going on became painfully OBVIOUS, didn’t it?<br /><br />In the end, I still do not understand why he would do this. I never had any personal confrontation with him, and I cannot think of ANYTHING I might have done to offend him. He never showed any dissatisfaction toward me, at least not when I was present. I am also confused why he did not simply decline when I asked for a letter, or give me ANY sign of his dissatisfaction, so that at the very least I would not have used his letters for the schools I wanted most, as well as my safety schools. <br /><br />In the end, I wish I had never reached out to him, and perhaps never taken his course at all.","Standard workload at UST, similar to any advanced-level course that does not have crazy projects.<br /><br />I once respected him, but after these disgusting things that happened, I have to say I’ve already been UNREASONABLY CIVIL. There’s nothing more polite I could possibly say to Professor Song after fucking up my grad application.",1,1,1,1,False,True,False,True,False,True,False,False,True,12,14,False,False,1,[]
DFGNmlJtlOPWGDEIotKrZmKzZpRugK6k,2016-17 Spring,"[{'id': 120, 'name': 'CHEN, Lei', 'rating': 1}]",False,bryanaa,"Jun 06, 2017",Take this if you always get rekt in exams,"This course will expose students to new and practical issues of real world mining and managing big data. Data mining and management is to effectively support storage, retrieval, and extracting implicit, previously unknown, and potentially useful knowledge from data. This course will place emphasis on two parts. The first part is big data issues such as mining and managing on distributed data, sampling on big data and using some cloud computing techniques on big data. The second part is applications of the techniques learnt on areas such as business intelligence, science and engineering, which aims to uncover facts and patterns in large volumes of data for decision support. This course builds on basic knowledge gained in the introductory data-mining course, and explores how to more effectively mine and manage large volumes of real-world data and to tap into large quantities of data. Working on real world data sets, students will experience all steps of a data-mining and management project, beginning with problem definition and data selection, and continuing through data management, data exploration, data transformation, sampling, portioning, modeling, and assessment.","The prof is just repeating whats on the lecture slides which are also copied by him (almost verbatim) from other Universities, and then combine that with a heavy mainland accent == instant sleep during lectures.<br /><br />Although TAs are super friendly and helpful for the projects. (Shout out to Anand and Sherry!)","Super good grade for me as the grading heavily favors project. <br /><br />Got mean on final? No problem, still A+<br /><br />Grading scheme:<br />- Midterm Exam (30%)<br />- Final Exam (30%)<br />- Project: Report+Code (30%), Demo+Presentation(10%)<br /><br />- Midterm: full mark (Avg: 85.56, SD: 14.13)<br />- Project: not disclosed<br />- Final exam: 75/100 (avg: 75.5, SD: 13.31)<br /> --&gt; A+","Super heavy. Lectures are all about theories and do not help you shit for the project. <br /><br />For the project, you gotta learn everything by yourself.<br /><br />I spent 40% of my semester time just for this course.",5,2,5,2,True,True,False,False,False,True,False,False,True,4,5,False,False,0,[]
IrjT0aVJVuKf6mJrOGAuSrHkQ2XfL13X,2022-23 Spring,"[{'id': 909, 'name': 'SONG, Yangqiu', 'rating': 1}]",False,sleepingbag,"Jun 08, 2023",,"There are some difficulties with the content design, which makes the course content not a 4000-level course. The students consist of people from CS, CPEG, DSCT, and RMBI. If you take a look at the pre-requisite, either COMP4211 or ISOM 3360 can fulfill the pre-requisite. However, these two courses are at completely different levels of difficulty and you can also imagine that RMBI students are less trained in coding and math. Eventually, the professor has to teach some&nbsp;&nbsp;ML content in a very simple way, otherwise, it will be too hard for RMBI students.<br /><br />The content is broken because there is a great duplication to other ML courses. And other topics are just not taught in-depth enough. But please don&#039;t blame things on the professor and the TAs, they work really hard. A better solution is to design two separate courses for CS CPEG DSCT and RMBI.","The TAs and the professor worked really hard to answer students&#039; questions. Professor Song also taught the content very clearly and often share his knowledge regarding what sort of techniques are used in the industry. I think this is the most precious part since only Professor Song, who has so much connection with the industry, can share these stories.","There are 3 assignments, 1 presentation, and a final. <br /><br />The grading of assignments is a bit broken because the variance of the grade in different assignments varies too much. I think the TAs notice this problem as well. Anyway, this part including the presentation wouldn&#039;t affect much of the grade. I actually quite enjoy working on these assignments.<br /><br />The final is the main factor of the overall grade. The truth is that everyone has a different perspective on the difficulty. What I must say, however, is that the questions, the difficulties, and the amount of workload to finish the exam are very similar to the past papers.","3 assignments 1 presentation and Final. <br /><br />But the PAs are quite easy. Not heavy.<br /><br />The presentation is like talking about what we did in PA, not really a workload.",3,5,5,4,False,True,False,True,False,False,False,False,True,3,4,False,False,10,[]
gqPSy9XeHjDG34FYXikk4wS36pAguDPc,2021-22 Spring,"[{'id': 909, 'name': 'SONG, Yangqiu', 'rating': 1}]",False,hohoWARD,"Jun 09, 2022",Easy A range Comp course,"1 Introduction<br />2 New Applications of Big Data Mining<br />3 Introduction to Deep Learning<br />4 Text Mining in Recommendation<br />5 Graph Mining in Recommendation<br />6 Heterogeneous Information Mining in Recommendation<br />7 More Techniques and Applications<br />8 Conclusions<br /><br />2 weeks talking about applications<br />8 weeks reviewing Comp 4211 (machine learning, neural network, CNN, RNN)<br />3 weeks teaching new stuff (network representation learning, recommendation system)<br /><br />For me, it is easy. Most of the items have been learned in Comp 4211, from my point of view, the course material&#039;s topics are wide but not deep. <br />有興趣其實睇下最後2個topic已經夠晒","The exam is calculation-based, thus, most of the content in the lecture is only for your information. It does not help you in the exam.<br />However, prof Song is experienced in this field, especially he had worked at Google and Microsoft. <br />He is welcome to any questions and he will answer you in detail.","Projects 50-60%<br />Presentation 10%<br />Final exam 30-40%<br />*Answer a question in lecture get 1% extra marks in total grade* (Maximum 2 questions)<br />人人有份 永不落空 記得上堂 sem尾會有半堂時間都係問問題<br /><br />Projects and presentation is group-based<br /><br />1. Project (So easy for dsct/comp/cpeg student)<br />For each project: 80% code, 20% report<br />Completed code is provided in the project.zip, you do not need to start from scratch. <br />Completed code is provided. Completed code is provided. Completed code is provided.(WTF)<br />You only need to do hyperparameter tuning or find a robust algo and plug into the code.<br />( I believe you can get 80/100 if u do nothing and submit the provided code)<br /><br />Project 1: 98/100 Mean:97.42<br />Project 2: 100/100 Mean: 99.17<br />Project 3: 96/100 Mean: 92.7<br /><br />2. Presentation <br />It holds two weeks before the final exam during the lecture<br />Each group has 3-min to present your findings/result in project1 and/or project2.<br /><br />No score reveal but I guess everyone gets near full marks<br /><br />3. Final Exam<br />Please find source<br />Me: 71.7/100 Mean: 57.43<br />Please find source<br /><br />Grade: A (unbelievable based on experience in comp course) <br />不愧係同business一齊讀 比grade勁鬆手","3 projects <br />1 presentation <br />1 final exam<br /><br />Projects: near no workload. <br />- Code : provided/copy from tutorial<br />- Report : give some descriptions and graphs<br /><br />Presentation: Need to make ppt, some workload<br />- read out your report in project1 and/or project2 <br /><br />Final exam<br />Please find source<br />format is the same all year from this prof<br />做past paper, 用左一日溫pp <br />我諗exam 前2/3日溫就garentee A range",4,5,5,5,False,True,False,False,False,True,False,False,False,2,2,False,False,1,[]
R82MgypvSf3hpqCNS2pxf7pMaAJcxKx5,2021-22 Spring,"[{'id': 909, 'name': 'SONG, Yangqiu', 'rating': 1}]",False,CyrusL,"Jun 09, 2022",Text + Graph Mining for Recommender System,"This course covers the fundamental knowledge for text and graph data mining in the context of building a recommender system. If you have taken a basic ML course but are new to its applications for text or graphs, this course is for you.<br /><br />Since this course is designed for both CS and business students, the teaching favours breadth over depth. If you would like to understand the theory behind the various ML methods covered, consider taking a different course. Also, the pacing is quite slow, so you may get bored if you are already somewhat familiar with ML.<br /><br />Note that although there is a tentative schedule (see below), the topics are not necessarily covered in order; some of the contents even belong to multiple topics.<br /><br />[Topics]<br />1. Introduction<br />2. New Applications of Big Data Mining<br />3. Introduction to Deep Learning<br />4. Text Mining in Recommendation<br />5. Graph Mining in Recommendation<br />6. Heterogeneous Information Mining in Recommendation<br />7. More Techniques and Applications<br />8. Conclusions","The instructor goes into the course material in much detail, especially whenever math is involved, so that business students can still follow the content. If you come from a CS background, it is easy to lose focus; unless you want the bonus marks, I recommend you just skip the lectures and review the recordings at 2x speed.<br /><br />He tries to keep the class lively by allocating some time to Q&amp;A sessions, in which he asks questions to the class and allows a variable number of students (sometimes more than 10) to answer them for bonus marks.<br /><br />Each tutorial is split into two parts: a brief review of the topics covered in the lecture, and an overview of example Python code implementing those concepts. However, for the most part, the TAs did not explain the code in detail, so you might as well just go through the code yourself.","[Projects (50-60%)]<br />There are a total of 3 group projects. Students can form groups of 1-4 which remain the same throughout the whole course.<br /><br />Each project corresponds to one of the aspects of a recommendation system: sentiment analysis, social network mining, and rating prediction.<br /><br />In each project, the group is required to develop a model for the given task and write a report on the process. The model accounts for the majority of the score and is graded based on its performance compared to predefined baselines. The report accounts for the remainder of the score and is graded based on content.<br /><br />[Presentation (10%)]<br />At the end of the course, each group is required to conduct a 3-minute presentation to the rest of the class about one or more of their projects.<br /><br />The presentation is graded on: content clearness, description of methods, experiments and components, insight sharing, and time management.<br /><br />[Final Exam (30-40%)]<br />This is a 3-hour open-book written exam. Students can type out their answers, and even search the internet, but no communication is allowed.<br /><br />The exam consists of a small number of T/F questions, with the rest being short questions. Some of the short questions are straightforward, such as doing hand calculations for TF-IDF, convolution, and node2vec; others involve understanding ML models that make use of the layers (in Keras terms) taught in class. Note that these models can range from fairly simple ones, such as vanilla Bi-LSTM, to very complicated ones introduced recently; it would do well to be proficient at literature review on ML papers in general.<br /><br />While the mean compared to last year may suggest otherwise, the difficulty of the exam has indeed been reduced: the SOTA models featured in this year&#039;s exam are much easier to understand.<br /><br />I would like to emphasise the importance of being able to run model.summary() in your head: in this year&#039;s exam, out of 100 marks, 12 are earned from determining the tensor shape and 30 from calculating the number of parameters. Honestly, I feel that whoever designed this paper has some obsession with this task; it would be great if they could come up with other ways to test our knowledge.<br /><br />[Bonus Marks (+2%)]<br />As mentioned in the Teaching session, students can earn bonus marks by participating in the Q&amp;A sessions. Each question answered earns 1% of the overall grade, up to a maximum of 2%.<br /><br />[My Grades]<br />Note that the mark distribution between the projects and the final exam depends on the difficulty of the final exam (higher difficulty results in larger weight for the projects). There has been no announcement about this since then.<br /><br />I am not aware of any grading split between CS and business students this year, but just in case: I enrolled in this course under COMP.<br /><br />Projects: 296/300 (Mean: 289.3)<br />Presentation: ??? (Mean: ???)<br />Final Exam: 79.9/100 (Mean: 57.4, Max: 91.0)<br />Bonus: +1%<br /><br />Grade: A+","There are 3 group projects and 1 presentation, but assuming that you have found a group of 4, the workload is actually quite minimal. Indeed, most of the work is spent on hyperparameter tuning. <br /><br />I was lucky enough to be in a group of 4 that distributes work evenly, so I only spent around 16 hours in total.",4,4,5,5,False,True,False,False,False,True,False,False,True,1,1,False,False,1,[]
HBEdbXdpNtl2ajEFWlBgRlfutm3UmDnU,2024-25 Spring,"[{'id': 909, 'name': 'SONG, Yangqiu', 'rating': 1}]",False,kevliu,"Jun 05, 2025",The majority of contents are overlaped with other course,"Lecture 1 Introduction<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 2 Applications 1<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 3 Applications 2<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 4-Recommendation Systems 1<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 5-Recommendation Systems 2<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 6-Linear Classifiers<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 7-Neural Networks<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 8-Network Representation Learning 1<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 9-Network Representation Learning 2<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 9-Network Representation Learning 3 RecSys<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 10-Text Classification<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 11-Seq2Seq and Attention<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 12-Pretraining and Scaling Law<br />&nbsp;&nbsp;&nbsp;&nbsp;Lecture 13-Instruction Finetuning and RLHF- Self Learning (not tested)<br /><br />Basically, the content overlaps with courses such as COMP4211, COMP4221, COMP4222, and COMP4901Y.(From the past paper, it also has some topics from COMP4321, COMP2(3)211, and other courses?)<br />If you took COMP4211(For RNNs/other common ML stuff) and COMP4222 (for GNNs/RecSys) before. You already learned 80% of the content.","Teaching is good and clear, but the speed is a bit slow","10% presentation<br />40% assignment x3<br />50% final<br /><br />As almost everyone gets 90%+ in the presentation and project, the grade mainly depends on the final exam.","Very Light<br />The three projects are very simple as they only require you to modify a few parts/ do some tuning on parameters/ write some prompts for LLMs in the provided code<br />I guess if you do nothing and submit it, you can get 60% of the marks<br /><br />The presentation is just about what you do in Assignment 1/2/both<br /><br />The exam is open book, and you can bring a pile of notes inside. Some questions are very similar to the past paper/ questions in COMP4222",3,4,4,5,False,True,False,True,False,True,False,False,True,2,4,False,False,1,[]
R8c6LzsSUZmmkNmt7KKvIrO2TLOrbtGd,2022-23 Spring,"[{'id': 909, 'name': 'SONG, Yangqiu', 'rating': 1}]",False,Daniel Kao,"Jun 07, 2023",Non-technical course,"1. Introduction<br />2. Applications of Data Mining<br />3. Classification<br />4. Linear Classifiers<br />5. Neural Networks (MLP, CNN, RNN, LSTM, ...)<br />6. Sentiment Analysis<br />7. Word Embedding<br />8. Network Representation Learning<br />9. Recommendation Systems<br /><br />The content was at an introductory level. There&#039;s not much technical part being introduced (for example, you will only learn the forward process of NN but not the backward/optimization process.) <br />Definitely not a typical 4000-level COMP course. Also, the materials were kind of outdated, as I guess the prof just tried to introduce the tasks and challenges. No trending approaches were included. As a year 4 cs student, I barely learn new things from this course.","Prof encourages class discussion on some open questions, mainly regarding how you would design your model or how you think you can solve a particular problem.<br /><br />The lectures were quite chill. The only problem was that he has a relatively stronger accent in English.",Said by the prof at the beginning of the semester: around 20~25% A range.<br /><br />Me:<br />Project 1: 82/100 (mean: 85.7)<br />Project 2: 100/100 (mean: 98)<br />Project 3: 100/100 (mean: 98.2)<br />Presentation: 96.8/100 (mean: 94.9)<br />Final: 94.5/100 (mean: 65.4)<br />Bonus: 1/2<br />Total: 95.48/100 (mean: 83.1)<br /><br />Grade: A+,"3 projects:<br />You can find all the sample codes in the tutorial sessions. There will be two baselines for each assignment. You also need to make a 1-2 page report for each project. Just modifying the sample code and adjusting the parameters, you can get performance higher than the baselines. I don&#039;t even think you need to fully understand what the codes are doing.<br /><br />1 presentation:<br />regarding what you find interesting in the first two projects. You can include either one of the two projects or both.<br /><br />Bonus: class participation<br /><br />Final exam: just do past papers.<br /><br />if you are also from cs, the workload is quite light.",3,4,5,5,False,True,False,True,False,False,False,False,True,0,0,False,False,1,[]
mIzEMEh9Wrqmpj3HKD8mu4X3zACl2tPd,2020-21 Spring,"[{'id': 909, 'name': 'SONG, Yangqiu', 'rating': 1}]",False,qweqweqwe,"Aug 14, 2021","Content is easy, exam is hard","Content includes how Deep Learning works, CNN, RNN, NLP, Network analysis and Recommendation system.","He has a strong accent and may skip or forgot to explain some detailed information.<br /><br />I didn&#039;t attend the tutorial since the tutors are not explaining them at all, only go through what those cells are doing. Not useful at all.","Since the final exam is too hard, the mean is not high (around 60+). Also, the course has both RMBI students and COMP students, and the professor believes that it would be fair to separate the grading (but for A range only)","There is no midterm exam for us due to the pandemic. <br /><br />There are 3 group projects, all are very easy, only need to modify some codes from the tutorial and you can hit the highest level of the baseline to get the full marks (3 levels in total)<br /><br />AT the end of the semester each group has to present 1 group project and explain what your group has done with the final result. We are allowed to pick our own project to present. The presentation is only 3 minutes since every group needs to present. <br /><br />The final exam is really hard. He requires us to go through 3 new algorithms and calculate the output size. There are also some MCs and long questions but those are just the same as the past paper.",4,3,4,4,False,True,False,True,False,True,False,False,True,0,0,False,False,1,[]
vjAcfu3C2IlKfOqV1sUDfrasUkA9qc02,2017-18 Spring,"[{'id': 134, 'name': 'WONG, Raymond Chi Wing', 'rating': 1}]",False,Harry Lai,"Jun 01, 2018",Well-designed material with great instructor,"The content is based on the following topics:<br />1. Data Collection - XPath, Crawling<br />2. Data Processing - pandas, numpy, sklearn in Python<br />3. Data Mining/Machine Learning - Neural network, Keras in Python, Recurrent Neural Network, GRU<br />4. Result Presenting<br />5. Distributed Data Management<br />6. Python programming<br />7. MongoDB and NoSQL","Professor Wong demonstrated his well-preparation and well-planning for the course as he teach all the course material in a well-ordered manner with clear explanation. He is also very nice as he answer student&#039;s question in a clear and detailed way in a short period of time. Last but not least, he is passionate on teaching as he willing to listen the comment from student and try his best to make improvement time-by-time.","The grading for the different phases of project is dependent since the aim of dividing the whole project into difference phase is to force student to complete the work as soon as possible. As a result, the grading for some phases is looser but the grading for the phase required final result is much more tighter.<br />For assignment and test, since majority of question contains exact answer, the marking is strict-forward.<br />The final grade of this course is nice. Student can obtain most of the score for assignment and project through using coupon. The final grade is depends on the result of mid-term test and final exam.","Workload of the course is adequate&nbsp;&nbsp;but the separation of phases for the project may make some student have a tight working schedule as the deadline for the phases are quite close with each other. But if student follow the instruction nicely, the workload is not so heavy.<br />The assignment is quite easy and all question are straight-forward.",5,5,5,4,True,True,False,True,False,True,False,False,False,2,4,False,False,0,[]
zxW2bFPujAcmAqea2SLVszSfF5wNXMLJ,2020-21 Spring,"[{'id': 909, 'name': 'SONG, Yangqiu', 'rating': 1}]",False,Cathleen,"May 22, 2021",Exams are getting harder,"Text mining, neural network, CNN, RNN, sentiment analysis, network, recommendation systems.<br /><br />Don&#039;t worry too much, his final does not test what is included in lectures. The 2021 final exam is like giving you a 300 word background per question and expect you to learn impromptu then answer the questions. I felt like I was doing a case study.",He is quite friendly and willing to answer students&#039; questions. But his lessons were really boring and his tone is like singing lullaby.,"Project mean: 90+/100, basically every team got similar high marks. <br /><br />Final is the only battle ground. But the difficulty of exmas significantly rises since 2019. The 2019 pastpaper is like elementary school quiz but 2021 paper is a whole disaster. <br /><br />Song said he gave ~25% A range last year and ~40% B range last year. Normal grading I guess.","3 projects + 1 final, fair.",3,4,4,3,False,True,False,False,False,True,False,False,False,0,1,False,False,1,[]
