hash,semester,instructors,is_author,author,date,title,comment_content,comment_teaching,comment_grading,comment_workload,rating_content,rating_teaching,rating_grading,rating_workload,has_midterm,has_final,has_quiz,has_assignment,has_essay,has_project,has_attendance,has_reading,has_presentation,upvote_count,vote_count,voted,is_upvote,comment_count,attachments
es9ZINQtZtUoqisDX58pXwlsK0FWFp3W,2021-22 Spring,"[{'id': 119, 'name': 'TANG, Chi Keung', 'rating': 1}]",False,haha1234,"May 30, 2022",poor teaching with bad grading,basic computer graphics. copied from CSE457 Spring2002 University of Washington. The materials are never updated. One of the assignment dues is the year 2003 so you can imagine how old it is. It is even older than me.,"poor teaching, in a casual way that nobody understands. Let me give you an example. When he talks about spline curves, he always mentioned his 95-year-old grandma who knows nothing about the computer. In fact, he&nbsp;&nbsp;was trying to tell us how simple it is for everybody to use. But what is the point? Rather than mentioning your grandma all the time, can you just follow the lecture notes or tell us some useful materials?","60% project 40% final<br />bad grading<br />rank 8 out of 72 in the final, 392 out of 400 in the project<br />end up getting B+?????????????????<br />CK told us the bonus will help upgrade the letter grade but I think doing much bonus is the only way to get into A-range.<br />Some people would tell you CK is transparent with the score but it means nothing. Finally, you will only be told the top 1 student get A+ which you will know even if he didn&#039;t tell you. So think carefully before enrolling in this course","light if you just finish the basic requirement. But it will become a boss if you try to do the bonus, which might be out of date and no one will use it in real life.",1,1,1,2,False,True,False,False,False,True,False,False,False,12,12,False,False,0,[]
V1RY1OmvViHOCaJTsqSCNhxVW6OZc2mj,2025-26 Fall,"[{'id': 119, 'name': 'TANG, Chi Keung', 'rating': 0}]",False,SOSYBOI,"Dec 02, 2025",Don&#039;t take this course if they don&#039;t have COMP4451 available for the whole academic year.,Content is fine itself but the way they presented it is a mess. No change at all like previous semesters. You should go look at videos about graphics. MIT opencourseware is a good one. They don&#039;t cover some topics much however like curves. But MIT covers more about animation and this course don&#039;t. Keenan has also a good list of teaching the basics from basic math to something more advanced on CG. I also strongly suggest read materials of 5411. They have a much organized lecture notes unlike this course which just copy and paste and the contents are messy at times from some university.,"I don&#039;t need to explain honestly.<br /><br />Prof kept stuttering and couldn&#039;t form a sentence during the lectures. I couldn&#039;t understand what he is trying to say AT ALL. He said he taught this course for more than 20 years. Damn, I feel bad for the students who took this course. Especially when you wanted to understand graphics then you see this. Really is a big disappointment.<br /><br />TAs are not helpful at all. <br /><br />The first tutorial already pisses me off. The TA was turning his mic on but he had the mic for ZOOM to be on as well. He couldn&#039;t fixed it and just say fuck it we continue like this. sigh. I had to hear his real voice and voice from the speaker. <br /><br />Besides that, it is still horrible. They show you the requirements for the projects in 10 mins and sometimes leaves immediately without seeing if the students having questions. Like what is the point? The slides are available in the website. The demo is also there. They don&#039;t teach on how to write the codes for OpenGL and FLTK. They just leave it to us. What is the fucking purpose of calling it a lab section.<br /><br />I am truly disappointed to this course. I was pretty excited to take this course since I came to this university. The reality is like this. Such a shame.",No comment yet. Same grading as previous years.,"First of all, find a groupmate. Trust me it will decrease the workload by a lot.<br /><br />Second, if you are talking about fulfilling the basic requirements for the project, it is not that hard. I would say the workload would be kinda light. Make sure you understand how to code. <br /><br />Bonus is another story. It can be really challenging but there are some you can do. All you need to do is find them in the internet and understand the concepts they want you to fulfill. For Project 3, please borrow the book they have telling you for weeks. They can help quite a bit.<br /><br />Oh yeah, there is demo sections for the projects. You need to attend them. Otherwise you lose some extra scores for that project. Make sure you prepare before joining the section, understand what are you doing with the code. <br /><br />What is more fucked up is that the professor said there was going to be a demo section for today (1st December), then they went radio silent and said it is going to be held on 7th December literally the day before the exam. What a mess this course is.",3,1,3,2,True,True,False,True,False,True,True,False,False,6,6,False,False,2,[]
7SrMvD0EYruGMv3laZJU4lIJEgzKdeuG,2015-16 Fall,"[{'id': 119, 'name': 'TANG, Chi Keung', 'rating': 1}]",False,tintin&snowy,"Jan 07, 2016",,"Interesting content. However, most of the content is derived from University of Washington&#039;s Computer Graphics course. Also, the content can be quite theoretical as well as mathematical.","Prof. CK is a pretty fast talker and sometimes he does not really explain clearly what the content of the lecture notes mean. I find it more useful when I read the notes that have been annotated by the professors in the University of Washington. Despite the teaching style,&nbsp;&nbsp;CK cares a lot about his students. If you are into computer vision/graphics, you can stick to him for mentoring purposes.","Projects:	50%<br />Homeworks:	5%<br />Final Exam:	45%<br /><br />You should be fine as long as you do well in your projects and score as many bonuses as possible. Bonuses are useful to increase your sub grade. For the final exam, there are 80 MC and 8 long questions. Very mathematical and theoretical. Read the textbooks, review the lecture notes, and learn the projects.","4 projects for a semester. They are moderately difficult to solve especially if you are aiming for many bonuses. Sometimes you need to read the textbook to know how to do the projects. After every project you will have a demo session with the professor/TA and explain how you solve each requirement. The HWs are difficult too although you don&#039;t really need to solve them perfectly to get all 5% because the TA/Prof will grade them based on your efforts/correctness etc, as long as you submit all the HWs.",5,2,5,3,False,True,False,True,False,True,False,False,False,4,4,False,False,0,[]
Vx9KM5UnAIyrkU3FOo1Ilz5IdScqWJ0I,2014-15 Fall,"[{'id': 119, 'name': 'TANG, Chi Keung', 'rating': 1}]",False,raypeng,"Aug 18, 2015",You will write a lot of code,Basically a coding course.<br />You will worry about the theory part only days before final.<br /><br />what is in the 3 hour final:<br />80 MC (covering every corner details of the theory)<br />5 long questions (each with 3-5 questions; lots of math),CK cares about teaching but you will need to catch up with his speed.,"CK gives x subgrade(s) up according to your assignment/project bonus scores. x \in {0, 1, 2, 3}",minimum requirements for 4 assignments/projects are very low -- probably each only takes &lt; 5 hours to finish<br />yet you can go pretty wild about getting all the bonus scores<br /><br />so:<br />workload = want_bonus ? heaviest : lightest;,5,4,5,2,False,True,False,True,False,True,False,False,False,4,5,False,False,0,[]
1D9ZUHAZ7w0VYQUNVdgoIo6gU5soqkdb,2020-21 Spring,"[{'id': 119, 'name': 'TANG, Chi Keung', 'rating': 1}]",False,ogt,"Jun 01, 2021",,"Topics: raytracing, curves, transformations, particle systems, shading, texture mapping<br /><br />The content is good....as long as you are interested in computer graphics. In reality, most of the stuff taught is not useful except for doing graphics stuff, which for most of us is probably never going to happen.<br />Nonetheless, mostly OK. But only take this course if you are interested in the topics!","CK is a nice professor and is clearly very enthusiastic about the course and its content. He is very responsive by email (a few hours only normally). However, during class, I have a hard time staying focused sometimes as the content is quite difficult at times and the slides are not great. The slides could really do with some updating.<br /><br />The TAs were also fine.","I think the grading is quite fair. The best thing about CK is that he is very transparent with the grading. For every project, you get a breakdown of your score. For every part of the grading, he releases a scoreboard that shows your rank and the scores of everyone else.<br /><br />I got almost full scores for all 4 projects.<br />There are 3 homeworks worth 1% each, graded by effort. I didn&#039;t put in that much effort and got the marks.<br />The final was online, which was 95 MCQs. My opinion on this is that some questions were based on knowledge (either you know or don&#039;t), but there also a decent amount of questions that I had no clue about despite studying well, and that for me were luck-based.<br />Hence there were many scores in the 60-70 range out of 95. Every point matters.<br /><br />=&gt; B+ (my final ranking was between 25-35 out of 70 students with 70+ bells)","I put C for workload because it very much depends on you:<br />- Do you want to get as many bonuses (bells &amp; whistles) as possible? Then very high workload! In my experience, each bell is about 1-2h of work. Some students got over 100+ bells, make the calculation!<br />- Do you not care about bonuses? Then the workload is OK. The core project parts are fairly easy and there are many resources online.<br /><br />There are 4 projects though. They are all in C++. This means you will spend a lot of time during your semester writing code, debugging, testing... The project can be done in groups of 2 or individually. I would highly recommend having a partner (a good one preferably) as that will cut your workload in half.<br /><br />There are also 3 homeworks.<br /><br />For the final, you need to know lots of details as that is what is tested.",4,5,4,3,False,True,False,False,False,True,False,False,False,1,1,False,False,0,[]
mLJR5u927AvCVTDdnYunstQFGnLnSvzy,2021-22 Spring,"[{'id': 119, 'name': 'TANG, Chi Keung', 'rating': 1}]",False,Yifan,"Aug 23, 2022","Lots of practical experience, good foundation.","I really enjoyed the content. It is hands on and practical. You will end up with a solid ray tracer with animation capability that can handle transparency and refraction, etc.<br /><br />Very proud of the final result even though I didn&#039;t do much bells and whistles. The content and the frameworks are old, like really old. But the knowledge about matrix and rendering processes are likely still pretty relevant, so I think it is still a good introductory course. Hopefully it will be updated eventually because it is indeed super old.",I think the teaching is just fine. Reading from the slides as usual. The slides are pretty clear most of the time so I consider the teaching being fine.,"I think the grading is clear and fine. If you want to get A range grade, I think it is basically required to full mark assignments (base score). From my understanding the bells and whistles cannot raise the base score, but allows higher ranking amongst students with same / similar base scores. So prioritize full base mark before considering bells and whistles.<br /><br />Exams are exams, higher the better.<br /><br />I got full mark for projects but pretty bad finals grade =&gt; B-","I think the workload really depends on your interest, and if you can find some source code. If you don&#039;t want to do any bells and whistles (like me), one full Saturday is enough to finish one project. The 3rd and 4th ones are more difficult and thus might take longer, I would say maybe 10 hours of coding &amp; debugging.<br /><br />Many coding challenges like implementing gluLookAt and ray tracing, is possible to be found online (though not easy to find, B+ if you can find them, C- if you can&#039;t), implementing the matrix / systems on your own might be quite challenging, but definitely doable if you have a good understanding of the course material.<br /><br />There was a lot of deadline extension given so even if you are a deadline fighter like me, things will be fine. (no bells and whistles though, sad)",5,4,4,3,False,True,False,False,False,True,False,False,False,0,0,False,False,0,[]
Ysqamg6cNMZ9lTIDYqIpfURqESMRE1r3,2021-22 Spring,"[{'id': 119, 'name': 'TANG, Chi Keung', 'rating': 1}]",False,zzzz24,"May 25, 2022",,"basic image processing<br />ray tracing<br />parametric curves, surfaces...",Terrible. Really do not understand what CK is talking about unless you replay the recording time and time again. I basically learnt from MIT online courses on youtube and slides from UT Austin.,"Harsh. Competition is fierce. <br /><br />Final is actually very easy. Just some concepts. No calculation. And the majority of people have a good score. I learnt everything in 5 days and got 70+.<br /><br />So the project is in fact the key to a good grade. Projects account for 60%. They can really make a difference. Treat them carefully and there are open source codes online for your reference (In fact, you can directly copy them. I am pretty sure someone does it.).<br /><br />BW basically is of no use for normal students. You may need 40 BW to get just one subgrade up. Over a half of students get over 20 BW. <br /><br />Again, students who take 4411 are all competitive and people are getting similar total scores. So to get a good grade, you must be very very very good at both projects and exam. <br />Someone has to be given a B- based on curves. I hope that is not you.",very huge.,4,3,3,3,False,True,False,False,False,True,False,False,False,0,0,False,False,0,[]
weHnFrVzUUAPFI5t6pztSHO3Kt9ABd0E,2018-19 Spring,"[{'id': 119, 'name': 'TANG, Chi Keung', 'rating': 1}]",False,Argen,"Jun 03, 2019","Good Course, Poor Teaching","Rich and detailed.<br /><br />Most of necessary technique and maths are covered, including:<br />Image processing, display and color, 2D/3D Transformation, Hierarchical Modelling, Hidden Surface Algorithm, Ray Tracing, Ray Intersection, Shading, Texture Mapping, Parametric Curves, Particle System, Surface, Animation<br /><br />You will learn a lot of concept, proof, and calculation in this course. In the meantime, the assignments push you to practice and implement them by coding.&nbsp;&nbsp;Really a meaningful course in terms of content if you wish to learn more about CG.","Pretty poor as stated in title.<br /><br />CK Tang tries to be a good instructor by making many jokes and mentioning interesting things. However, due to his ‘lagging’ way of speaking and rapid content switch, he is unable to express a fluent flow of lecture content. Students often feel confused with where he is explaining and how that is related to the topics before.<br />In most instances, we figure out what is happening by our actual implementation in assignment and revision.","A normal distribution, can be further raised by bonus.<br /><br />48% Projects<br />49% Final Exam<br />3% Paper Homework<br /><br />Frankly speaking, if you expect an easy exam with light workload like those good-grade CC, you are strongly discouraged to enroll this course.<br /><br />The exam is hard, there are many bonus task (aka Bells &amp; Whistles, B/W) in projects which makes them tedious.<br />On the other hand, if you really make effort on the assignments to gain the bonus (basically impossible to finish all bonus since some of them are too difficult and troublesome), you earn a rise in subgrade.<br /><br />My subjective view on B/W:<br />I need to spend around 1-2 hrs per Bell if I do it 100% on my own.<br />In my semester (relatively higher standard since students get at most 90B/W in the past):<br />~140 B/W (All completed): 3 subgrades up<br />~80 B/W: 2 subgrades up<br />~40 B/W: 1 subgrade up","Depends. Can be an A or an E.<br /><br />A: If you do neither wish to do bonus nor the 3% paper homework.<br />E: If you do as many B/W as you can, finish all paper homework, study all past papers.",5,3,4,3,False,True,False,True,False,True,False,True,True,1,2,False,False,0,[]
kVJiQB8499GkbiWi2iJWfLdHs6bzpTDd,2025-26 Fall,"[{'id': 119, 'name': 'TANG, Chi Keung', 'rating': 1}]",False,EKKO,"Jan 26, 2026","The content is outdated, but it&#039;s still quite good for getting a conceptual understanding.","This course focuses exclusively on CPU shading with no coverage of GPU-related content. In my view, its objective is to introduce fundamental graphics concepts rather than teach modern computer graphics in a practical sense.<br />&nbsp;&nbsp;&nbsp;&nbsp;The teaching materials and assignments are outdated— the assignments are adapted with minor revisions from those used at other universities (I saw a &quot;2001 copyright&quot; notice in the skeleton code for the coursework).<br />&nbsp;&nbsp;&nbsp;&nbsp;Back to the course content: as stated in the course description, it primarily covers the following topics: display technologies; scan conversion; clipping; affine transformations; homogeneous coordinates and projection; viewing transformations; hidden surface removal; reflectance and shading models; ray tracing; spline curves and surfaces; hierarchical modeling; texture mapping; and color models. It covers the fundamentals and is quite comprehensive overall, but precisely because the content is overly basic—and computer graphics is an extremely fast-evolving field—you’ll need to do some extra work if you want to delve deeper into it.","CK is a really nice professor and his lectures are pretty engaging. The only minor downside is his accent and the occasional pauses in his English. Since each class doesn’t cover that many key points, he goes into great detail on a lot of things.","The grading criteria are fully transparent,&nbsp;&nbsp;it’s not very hard to get an A range —but&nbsp;&nbsp;you need to put in a lot of time to earn the assignment bonuses.","There are four project HWs in total, all coded in C++ with OpenGL — and it’s an OpenGL 2.x version I remember. The first project is about image processing, the second focuses on matrix transformations, the third is implementing a basic ray tracer, and the fourth covers curves and animation.<br />&nbsp;&nbsp;&nbsp;&nbsp;All the basic requirements are really straightforward; if you’re not aiming for a high grade, the workload for this course is surprisingly light. But each project has a ton of bonus points up for grabs, and these are a must for scoring top marks (though you don’t have to nail all of them — just doing a portion is fine).<br />&nbsp;&nbsp;&nbsp;&nbsp;That said, honestly, a lot of these bonus problems are actually really valuable for practical use. The inverse kinematics (IK) system in the second project, for example, is widely used in the 3D animation industry.",3,5,5,4,False,True,False,False,False,False,False,False,False,0,1,False,False,0,[]
fN6vW4DXfzw2VcwOjAWb0Xu7WH4W7RY7,2024-25 Fall,"[{'id': 119, 'name': 'TANG, Chi Keung', 'rating': 1}]",False,M.,"Oct 25, 2024",Passionate teacher,"The lectures go into quite a lot of depth; however, the content for the exam and projects are too different in my opinion. The projects are taken from another university, which might explain it.","The teacher is enthusiastic and knows a lot, but their English was a little difficult for me to understand.","The grading is fair, and I cannot complain about it, especially since there is some measure of grace awarded.","The projects are fun, and not too difficult! They are taken from another university, but that&#039;s not inherently a bad thing.",3,4,4,5,False,True,False,True,False,True,False,False,False,0,1,False,False,0,[]
