hash,semester,instructors,is_author,author,date,title,comment_content,comment_teaching,comment_grading,comment_workload,rating_content,rating_teaching,rating_grading,rating_workload,has_midterm,has_final,has_quiz,has_assignment,has_essay,has_project,has_attendance,has_reading,has_presentation,upvote_count,vote_count,voted,is_upvote,comment_count,attachments
3qhaNcIbfj1zxdOTHaaxQ3xmBe6LT6SJ,2022-23 Spring,"[{'id': 1526, 'name': 'PARREAUX, Lionel', 'rating': 1}]",False,mark_,"May 26, 2023","Extremely content-rich and rewarding course (Update: To be renamed COMP4121, offered starting Spring 2024)","The content basically covers everything you need to implement a compiler. I will say it is not an easy course. Some even claim it&#039;s PG-difficulty, although I disagree.<br /><br />- Formal languages, regular expressions, lexing<br />- Context free grammars, parsing LL(1) grammars, Pratt parsing<br />- Name analysis<br />- Type theory, type checking/unification, let polymorphism<br />- WebAssembly crash course, codegen<br />- Compiler optimisation, control flow graphs<br /><br />After this course, you&#039;ll probably have the prerequisite knowledge to create your own language for real and learn toolchains like LLVM.<br /><br />I highly recommend you to have the following pre-requisites before you take this course:<br />- Comfortable with discrete math (If you got through COMP 2711 or 3711, you are probably fine)<br />- Open to learn new math concepts such as inductively defined sets, lattices<br />- Prepared to learn functional programming<br />- Some computer architecture (COMP2611, even if taken in the same semester, is enough)<br /><br />If you lack some of these, then you may struggle. As always, try out the course during add-drop period and have a go at the first lab.<br /><br />By the way, the entire course is taught in Scala. At first, it&#039;s quite tricky to learn. But, after a while, you will fall in love with algebraic data types and pattern matching. It will also probably make you a better programmer.<br /><br />P.S. I heard the course will become a standard COMP offering in the future. If so, it will probably be one of the hardest standard COMP electives for UG.<br /><br />UPDATE: It appears this course will tentatively be offered in Spring 2024: https://cse.hkust.edu.hk/ug/courses/<br /><br />UPDATE 2: This course will be converted into an official course: COMP 4121, and will be offered starting Spring 2024. As of writing it is yet to be approved, but it should be added soon.","Professor Parreaux (LP) is a great instructor. His teaching is clear, and the lecture slides provide ample detail for when you want to go back and revise something. <br /><br />Lectures are up to 2 hours long (though usually only 90 minutes), with a 10 minute break in the middle. While he sometimes may go too fast during class, he is extremely patient and willing to answer questions during the break or after class.<br /><br />The real heart of this course is the tutorials, delivered by the TAs. The tutorials have attendance, but skipping one regardless is a death wish. This course is an oddball in UST, in the sense that the tutorials are actually really hard and you **will** be confused and exhausted. This is not necessarily the fault of the TAs or the professor -- the content is just inherently hard. However, the tutorials are quite interactive, and you are encouraged to work in groups (although we all know that isn&#039;t happening in HKUST CSE :P)<br /><br />As for the labs, I only attended one or two of them as they seem to just be a Q&amp;A / support session if you need help with the labs.<br /><br />Moreover, all the TAs and LP himself are reachable through a class Discord server.<br /><br />Overall, great teaching.<br /><br />Also, shout-out to LP for making special arrangements to accommodate students who had a time clash to still register the course!","The grading scheme is as follows:<br /><br />60% labs<br />- 5 labs, each graded /10, worth 12% each<br />&nbsp;&nbsp;&nbsp;&nbsp;- For each lab, major mistakes deduct two points, while minor mistakes deduct one point<br />&nbsp;&nbsp;&nbsp;&nbsp;- In my experience, mistakes from the same root cause will not be penalised twice (grading is done manually)<br />40% Final Exam<br /><br />Moreover, there is an optional bonus project graded out of 100% that can recover up to 50% of the total lab marks. You extend the compiler in some cool way in groups of 1-4 for this project. The actual formula for the lab score is:<br /><br />min(60%, Your lab score + 30% * project score)<br /><br />Note that attendance is required for the tutorials. I don&#039;t actually know what happens if you skip a tutorial, but I wouldn&#039;t recommend finding out. :P <br />--<br /><br />PROJECT<br /><br />Again, fully optional, and is only for the purpose of making up lost lab points. You&#039;re given a long list of project ideas (or you can come up with it on your own), and you implement it by yourself or in groups. The projects have a hard upper limit on the team size depending on the difficulty.<br /><br />It seems you can get a good score on the project as long as you implement everything carefully and write lots of relevant details in your report.<br />--<br /><br />FINAL EXAM<br /><br />The final is quite hard. It&#039;s full of theory and a bit of programming (also, there are some proof questions). I had to stare at a question for 30 minutes before having any idea what it was trying to say. However, the format is quite similar to the tutorials, and LP provides a lot of past papers for your self-study.<br /><br />The final was originally out of 80 (+5 bonus), but the max score was truncated to 70 due to the difficulty this semester.<br /><br />Stats: Low&nbsp;&nbsp;LQ&nbsp;&nbsp;Median&nbsp;&nbsp;UQ&nbsp;&nbsp;High&nbsp;&nbsp;|&nbsp;&nbsp;Mean<br /><br />Final exam (truncated, /70):<br />18&nbsp;&nbsp;32.13&nbsp;&nbsp;38.25&nbsp;&nbsp;53&nbsp;&nbsp;71&nbsp;&nbsp;|&nbsp;&nbsp;42.58<br /><br />The labs usually have a median of around 8 and always an upper quartile of 10.<br /><br />--<br />LETTER GRADE<br /><br />Overall 98.3% -&gt; A+<br />Getting around upper quartile will result in an A/A-.","The bulk of the workload comes from the labs.<br /><br />The labs are challenging. Basically, you are building towards a full-blown compiler in Scala for a mini-language called Amy. Each lab builds one stage of the compiler:<br />- Lexer<br />- Parser<br />- Type checker<br />- Codegen<br />The first lab is an interpreter which is designed to get you acquainted with the language. It is unrelated to the compiler.<br /><br />Each lab builds on the previous one. You are expected to write your own test cases. You will be given feedback on your labs so that you can fix bugs and whatnot (which you should do), but solutions to the labs are NOT released. If you discover any bugs, fix them before the rest of your compiler breaks.<br /><br />Most labs are doable in a day. However, some really hard labs like the parser and codegen lab took me a few days to complete.<br /><br />--<br /><br />There will also be some additional workload from trying to understand the content and tutorial questions outside of class.<br /><br />--<br /><br />The bonus project was released on the last day of semester, and was due at the end of the finals. If you plan to do it, be prepared to work on it alongside your finals.",5,5,5,4,False,True,False,True,False,True,True,False,False,10,12,False,False,0,[]
2J01nUsVgWUgiAQTswtlwoDzTke6cAdg,2022-23 Spring,"[{'id': 1526, 'name': 'PARREAUX, Lionel', 'rating': 1}]",False,rind,"Jun 06, 2023",Audit this course will be a better choice,"You may refer to other comments.<br /><br />What I would like to emphasize is the difficulty level of this course. To me, I think this course is even more difficult than PG Theory course. Because not only you have to be good at maths, you also need to be a good programmer (or this course could make you to be one... given that you spend enough effort).<br /><br />But in general, the contents are cool, modern (quite rare in CSE dept) and definitely useful for any programmers.","Lionel and TAs (John and Anto) are very supportive to answer any question at any time (they set up a discord group). You can even ask advanced materials. For those who are interested in researching/dive deeper in this area, take this course.<br /><br />The lectures are recorded and I recommend studying the recording unless you are pure genius/already familiar with the topic he is talking. The pace is quite fast and the content are difficult, I need to pause many times to digest what is happening.","I write this review before they release grade so I will be less biased.<br /><br />60% - Mini projects<br />40% - Final Exam<br />Optional project - cover at most half of the points lost in mini projects.<br /><br />Mini projects (x5, full mark:10):<br />Median: 9 8 8 10 9<br />My score: 8 6 5 8 2<br />Basically the mini projects have very high median, if you slipped any one of them, very likely you have to do the optional project for better grading.<br /><br />Exam:<br />Mean: 42.58<br />Median: 38.25	High: 71<br />Upper Quartile: 53	Low: 18<br />Lower Quartile: 32.13<br />My score: 51.5/70<br /><br />For the exam, the type system question will differentiate the A-range students. Understanding the question is already a difficult task. For student like me who don&#039;t understand what is happening, just focus on other 3 questions first. Out of the other 3 questions, I think the proof question is the most difficult (It worths 10 points!).<br /><br />Optional project: I didn&#039;t do it, please refer to other reviews.","This is the part where I would suggest any of you to audit this course.<br /><br />To successfully get an AU grade, you could either:<br />1) work on the mini projects<br />2) participate the exam and get somewhat &quot;OK&quot; score<br /><br />I think the workload of this course will be originally B, and each attribute below will downgrade 1 level:<br />1. You don&#039;t know about Scala.<br />2. Proofs and math statements are quite painful to you.<br /><br />Except the first mini project, each mini project later on will depends on the previous projects, and they won&#039;t release the answer as they will be used in the coming offerings as well. So error accumulates if you have a bad mini projects, you cannot do proper testing for some testcases because they even couldn&#039;t pass the previous stages. So you should actually spend more time on testing your code in the first few projects, and correct your mistakes once you get any feedback. <br /><br />For final year student, if you are doing job searching (also fyp, other courses...) at the same time like me, usually you won&#039;t have time to deal with your debts. So put more effort in the first few projects because once the debt grows, you will be very despair and totally give up in later stages (like me).<br /><br />For the Scala part, it is an amazing language but it has so MANY language features. Understanding some of them (why they exists) requires a deep knowledge in programming. Personally I find variance very cool. But in order to better understand this course and being able to work on the mini project. You must spend the first few weeks learning Scala (Btw in UST, we spend 2 semesters on C++).<br /><br />The math part of this course is also quite difficult for general CS students. Btw they mentioned that you don&#039;t have to write &quot;rigorous&quot; proofs in this course. But still, generating the idea to formulate a proof is difficult.<br /><br />Often time, I think I am not capable of studying CS. The side effect of studying this course is to understand how stupid I am.",5,4,3,2,False,True,False,True,False,False,False,False,False,6,7,False,False,0,[]
MTywf9rqCYUcdV7DmmZ9DwLMbb5sPToJ,2021-22 Fall,"[{'id': 1526, 'name': 'PARREAUX, Lionel', 'rating': 1}]",False,kotakbas,"Dec 28, 2021",One of the richest UG CS course. Certainly must-have,"High level-wise you will learn how to write every stage of the compiler (except for optimization) from tokenizing the code and creating AST, up to actually converting it into an assembly code.<br />As described by others, there will be 5 bi-weekly labs and weekly lectures &amp; tutorials.<br />Labs were extremely fun as you had hands-on experience writing compiler phases for a mini-language Amy with a functional programming language (Scala).<br />Note: if you are thinking of taking this course or COMP3031, note they greatly overlap in FP language content.","The instructor was very knowledgeable (just google his Ph.D. thesis and you&#039;ll know what I mean ^^) and willing to answer any questions. Unlike most professors in UST, he likes to give questions during tutorials &amp; lectures &amp; labs to engage his students. Most people may not like it or feel shy, but I certainly enjoyed this kind of interaction.","- 60% -- bi-weekly labs (5 in total)<br />- 40% -- Final<br />- (optional) Project of your choice as an add-on to Amy compiler.<br /><br />The optional project greatly alleviated my grade after ruining certain labs:<br />Labs: [5, 3, 4, 1.5, 5]<br />Final: 70<br />Project: 6.5<br />Overall: A+<br /><br />Fair grading, can&#039;t say much.","It was fairly hard, but labs were quite fun, so it didn&#039;t bother me. Labs each took about a full day or more (parser lab was by far the hardest one). The optional project was during finals so you gotta find ~3-4 days to finish it (I&#039;d suggest starting it early). Preparing for finals isn&#039;t too hard as it was about the same difficulty as tutorials: you&#039;ll be good as long as you crack tutorial problems.",5,5,5,4,False,True,False,True,False,True,False,False,False,5,6,False,False,0,[]
VrgzywaSAvgBzmnFbgEgAhOCHxBbDKdz,2021-22 Fall,"[{'id': 1526, 'name': 'PARREAUX, Lionel', 'rating': 1}]",False,CS水泡,"Dec 26, 2021","Rich content, nice instructor","One of the richest CS UG course in HKUST content-wise. Challenging like COMP3711 but in a good way.<br /><br />A must-take if you are looking to pursue PG in CS, and you should audit just for the things you&#039;d learn. Half the class is PG anyways.<br /><br />Basically a clone of the course offered in Swiss Federal Institute of Technology Lausanne (EPFL) under the same name, but theirs is worth 6 credits.<br />https://edu.epfl.ch/coursebook/en/computer-language-processing-CS-320 <br /><br />Understanding discrete math, theory of computation, functional programming, computer architecture are extremely useful but not required.<br /><br />You write a compiler for a Scala-like functional programming language to WebAssembly in Scala in the lab.","The instructor is new to teaching in UST and makes some typos, but he is super nice and willing to change the weighting if needed. He handles everything from lecture, tutorials to labs. I only met the TA once in the final.<br /><br />Every lecture is like a talk you&#039;d find in a developer conference, extremely information dense and detailed. Don&#039;t ever skip one because without it you won&#039;t even understand the question in tutorials and final.<br /><br />The instructor is also open for discussions during mid-lecture breaks and after class.","The course is definitely not easy, following are the weightings:<br /><br />60% over 5 lab assignments<br />40% final exam<br />[optional] project<br /><br />The project can recover up to 50% of marks lost in the lab assignments, so basically:<br /><br />40% * final + min(60%, labs * 60% + project * 30%)<br /><br />This was not the intended weighting but the one we got because the project late-semester was too heavy. <br /><br />Labs mean are around 80%<br />final mean is 55/80<br />87 is actually the highest possible score and some crazy guy managed 82<br /><br />Overall 92% =&gt; A<br /><br />Original weighting as follow:<br /><br />40% final<br />25% lab (5% each)<br />35% project<br /><br />I gave A for grading because hard work will be reflected in the grade, not because it is easy to get good grades.","Would have been worse than B had the project not changed to optional last minute. <br /><br />Labs are challenging but manageable. The libraries he gave you are in .jar file which makes language server features unavailable. You better clone the GitHub repositories of those libraries and look at the examples yourself.<br /><br />Final is pretty tough, but being open-book helps. Print the WebAssembly examples and I don&#039;t think it&#039;s hard to pass.<br /><br />I decided to still do the project, where you add an extra feature to the compiler you have built in the 5 labs. Form a group of 1 to 3 depending on the difficulty of your feature. This part is super intensive, done during the final period without much help, you basically need to figure out everything yourselves. <br /><br />With the project, workload is more like D towards the end. However, the high number of PG students means he can give more A than other courses and hard work does have returns.",5,5,5,4,False,True,False,True,False,True,False,False,False,4,4,False,False,0,[]
8sj0qHAjWhS3MGxpew0UTuAk4gv1pi4w,2021-22 Fall,"[{'id': 1526, 'name': 'PARREAUX, Lionel', 'rating': 1}]",False,Asagami Fujino,"Dec 28, 2021",Finally a compiler course,"It is surprising that actually not much has been taught during the semester, even though it feels like much.<br /><br />Topics (roughly):<br />- regular expression<br />- context free grammar<br />- parsing `LL(1)`<br />- name analysis<br />- type checking (basic type theory)<br />- code generation (to WebAssembly)<br /><br />The programming language this course uses is Scala 3. If you are familiar with Haskell, OCaml or other functional languages you would get used to it quite easily. The pre-req is useless, as you are not touching OOP at all. (The true pre-req would be induction, and some knowledge of assembly)<br /><br />Fun facts:<br />Simple type was taught in the lecture<br />Subtying was introduced during the tutorial<br />Dependent-type was tested in the final exam.","LP is a very nice guy and he is willing answer all your questions.<br />Although sometimes he may not be able to explain things thoroughly, this is the first he teaches this course so it is fine.<br />I think there&#039;s no TAs in the course. LP is giving all the. sections (lecture, labs, tutorials)","Scheme:<br />Labs: 5 * 5% (25%) | Project: 35% (opt) | Exam: 40%<br /><br />The project is made optional due to time limitation. So the project is used to make up lab scores (up to 50% of lab grades). But I don&#039;t know how the actual calculation works.<br /><br />My:<br />Lab: 5, 4.5, 3.5, 4, 5<br />Project: 3<br />Exam: 69/80 (Some crazy guys manage to get 82 which is ridiculous)<br />Overall: A+<br /><br />I think the grading is actually quite good...","Being a 3 credits course, it consists of 2-hr lecture, 2-hr tutorial, and 2-hr lab, which seems quite heavy.<br />But the good thing is that there is 1 lab every 2 weeks (though the last be was given 3 weeks to finish) and every lab can be completed in about 4 to 6 hours, so it is possible to finish in lab time. (Since I have experience in FP and PL, I find them not too difficult. If you don&#039;t know anything about functional programming, you may need sometime to get your hands on)<br />The project is an extension of the compiler (lab work). But you can also write another one from scratch and even in another language (like Haskell) XD, if you are willing to.<br />Doing the requires some efforts, but it is kind of like another lab.<br />You also need to write a report for the project ...",5,5,5,4,False,True,False,True,False,True,False,False,False,4,5,False,False,0,[]
CNUcUNckJnK0iiyqnzPL600NqVCEGHrC,2023-24 Spring,"[{'id': 1526, 'name': 'PARREAUX, Lionel', 'rating': 1}]",False,William422,"May 31, 2024",Select This Course ONLY IF You Are REALLY Interested In Compiler,"I have to admit this is a content-rich course, but somehow too rich for a normal student to fully take in. This course covers all aspects that you need to know to construct a simple compiler. The content overall can be summarized into 4 huge parts:<br />- Lexer<br />- Parsing<br />- Type checking<br />- Code generation<br />Also, there are some trivial parts like regular expressions (you may have learnt this from other courses) and some storage stuff (I missed this lecture due to some Ph.D. interviews but this content has not appeared in the final exam)<br /><br />Lexer and Parsing are not so hard, what you need to focus is regular expression (if you have not learnt that in your discrete math but I have so it is relatively simple for me to understand) and LL1. LL1 is very hard, especially when professor automatically assume everyone can get the trick after knowing how to compute first and nullable. You MUST attend the tutorials to get LL1 tricks or you will die hard in your final prep period. (I missed LL1 tutorial but I asked TA to teach me again before the exam)<br /><br />I really suggest you give up on type checking since it is not for normal human beings to understand when reviewing and taking the exam. The question in the final for type checking is to differentiate A range dudes, and it took me an hour to fix the first sub-question and I didn&#039;t even understand what the * I had written after several minutes. It is really hard, but the lectures are kind of simple to understand. It is two different stories for you to understand in the lecture and solve that question in the final exam.<br /><br />Code gen is not so hard. Maybe in the ending of the semester, the clever-as-god professor finally realize that we are stupid so the content are simpler than before. Questions are also easy if you have learnt computer organization before and it is even easier since you do not need to care about those registers. WebAssembly will help you deal with that.<br /><br />If you are truly interested in this course, I think you will enjoy the course flow because I think the organization of this course flows smoothly. But if you are not so interested in this and you are just selecting this course so that you can full fill some credits in your track like me, I really suggest you think twice before you make the decision since you will feel much pain when in the final prep period you will find that even you have consumed all the recordings, you still cannot crack those past papers.","I truly admit the professor is very dedicated in making this course but there are points that are not satisfactory.<br /><br />- Important points not emphasized. For example, LL1 is difficult, so I think in the lecture this part should be emphasized.<br /><br />- Some very hard topics integrated into the contents but finally not so helpful to the final exam. I think those points should be marked out or only covered at the end of the lecture or the last lecture. Some concepts are too hard and not helpful at all.<br /><br />- Tutorials are good, but some early tutorials are not covering all the problems. I think in the later semesters (if there&#039;re still students selecting this course), the tutorials should be released as homework and then the tutorials should be focusing on teaching.","I write this before they give the letter grade to be fair enough.<br />Overall grading consists of 40% final and 60% project and an optional mini project.<br /><br />- Final<br />Stats: <br />Mean: 57.47<br />Median: 56<br />High: 76.5<br />Upper Quartile: 68<br />Low: 38.5<br />Lower Quartile: 47.5<br /><br />I think the final is fair. 4 large questions, each examine one huge part in the content. Lexer, parsing and codegen is simple so you can pass the exam as long as you attend lectures. Type checking is super hard but easier than before.<br /><br />I think the professor has made this exam easier since past exams are difficult as *. Grading are loose. Good for TA. I love him. (I have to say the TA of this course really helped me to go through some hard times. He is very helpful and handsome. If it was not him, I would drop this course ASAP)<br /><br />- Projects<br />5 projects in total. Each makes up 12% in your final grades so pay attention to each one of them.<br />Stats:<br />Median of 5 projects: 9 6 7.5 9 10<br />Mine: 9 5 7.5 10 10<br />I did not do the optional project since the ordinary project is already very difficult.<br /><br />A proof of most of us taking this course are stupid is that this is the only year for Project 3 being given another chance. Most of us for the first time didn&#039;t make the program run. <br />All projects are based on the previous projects. If you suck one, you suck all. Try to pay extra attention to the specification document. I went rogue in Project 2 because I missed a lot of points in the specification. Minor mistakes -1, major mistakes -2. If you have 5 major mistakes, all your effort goes to waste.<br />I suggest you find a teammate to do all the projects with you since some of them are really hard.<br /><br />I got median in the final. All projects are around median so I think my overall is around median. Maybe this will land me in B range I guess. Fair grading anyway.<br /><br />Update: Overall B!!! When I was doing Project 3 I was chatting with a dude on discord saying I am going to get C-. Thank god. Thank LP. God bless 4121.","Work load is super heavy. This course took me over 60% of time to learn in this semester, but the outcome is not satisfactory at all.<br /><br />I strongly suggest you take some previous courses before taking this one. You should be extremely familiar with the following topics in order to make yourself feel better:<br />1) Scala / Java programming<br />2) Discrete Math / Some complex logic<br />3) Basic language principle<br />Or: You have a lot of time to spare.<br /><br />Some tips to minimize your pain:<br />1) Focus on tutorial problems and past papers (especially those papers with lecture no converted to 4121). They are much much more helpful than slides in the final period.<br />2) Ignore some difficult concepts. I spent a huge amount of time on concepts, but they are not helpful in cracking the finals. Concepts are important if you can comprehend them during the class or within 10 mins. Or ignore them.<br />3) Ignore Type Checking in your final review. If you crack all other problems and write something for Type Checking, you may get around median.<br />4) It is almost impossible for you to be easy in this semester if you choose this course. Work hard and good luck anyway. You can learn something from this course, whether they are knowledge or lessons :)",5,3,4,2,False,True,False,False,False,True,False,False,False,1,1,False,False,0,[]
t6UdbcP0Z5kV8pTSdp356A8F2zDwpvDh,2021-22 Fall,"[{'id': 1526, 'name': 'PARREAUX, Lionel', 'rating': 1}]",False,TrebledJ,"Jan 03, 2022",Well-typed course that compiles and runs smoothly,"I won&#039;t say too much, as most of what I planned to write has already been covered by other reviews.<br /><br />Good all-around content. Learned quite a bit about compiler stages, pitfalls, and design techniques.<br /><br />Also picked up Scala, which is a nice mix of OOP and functional programming, something like a cross between Python (readability), Java (libraries and compilation), and C++ (typing, but slightly different).<br />And also a bit of WebAssembly.<br /><br />You get to practice mathematical induction and dynamic programming as well.","Very clear teaching, guidelines, lab descriptions, lecture notes.<br /><br />Lectures are relatively interactive, which I find somewhat of a rarity. Tutorials actually introduce new content and are intellectually challenging, so I strongly recommend attending, even if it&#039;s through Zoom. Plenty of examples and exercises all-around.<br /><br />LP is very nice. Made the project optional. Gives detailed feedback in labs. Responds reliably to emails. Gives breaks during lectures.<br /><br />Only annoyance I have is that Labs 3-5 weren&#039;t graded until after the semester was over, so there wasn&#039;t any feedback on some compiler stages. :( But this doesn&#039;t stop me from giving teaching an A.","Good.<br /><br />Labs (each out of 5): 4.5, 4.5, 5, 4, 2<br />Project: 5<br />Final: 64/80<br />Overall: A<br /><br />(There is no maximum mark for the project.)<br /><br />With the project optional, any marks earned for the project go towards replenishing marks lost in labs. Based on observations of other reviews, LP is kind enough to fully replenish our lab marks.","5 Labs. 1 Project. 1 Final.<br /><br />In each lab, we&#039;re tasked with implementing a stage of a compiler pipeline to compile a subset of Scala. The skeleton provided is a full-blown Scala project. Be sure to take advantage of the testing library and write test cases.<br /><br />The first several labs are a breeze (interpreter, lexer, parser). The last few labs are much more difficult (type checking, codegen). Especially codegen. This one requires a lot more thought.<br /><br />The project is fun. You form up to groups of 3 and implement any compiler extension to the compiler you finished from the labs. Also, did I mention LP made the project optional?<br /><br />The final was nice and intellectually challenging. LP provided past papers from EPFL (although those were much easier).<br /><br />A word of caution though. Usually, each lab would build upon a previous lab (e.g. the parser stage depends on the lexer stage). Likewise, the project depends on the compiler you&#039;ve implemented for the labs. So it&#039;s better to fix bugs early on, or else the rest of your compiler will suffer. Make sure your test cases have good coverage of all the rules. If you&#039;re taking this course without any friends (as I did), good luck.",5,5,5,4,False,True,False,True,False,True,False,False,False,1,1,False,False,0,[]
